ts_ms,tick,event_type,event_code,fsm_state,proto_id,alarms_mask,temp_C,moist_pct,press_kPa,vib,heater_en,fan_pwm,valve,fifo_occ_after_push
0,0,PERIODIC,0x00,IDLE,0,0x0000,3.48,6.83,12.60,0.27,0,30,0,1
100,1,PERIODIC,0x00,IDLE,0,0x0000,6.98,13.37,25.36,0.55,0,30,0,1
200,2,PERIODIC,0x00,IDLE,0,0x0000,10.50,19.91,38.12,0.85,0,30,0,1
300,3,PERIODIC,0x00,IDLE,0,0x0000,14.00,26.35,50.88,1.14,0,30,0,1
400,4,PERIODIC,0x00,RAMP,0,0x0000,17.49,32.80,63.67,1.44,0,30,0,1
500,5,PERIODIC,0x00,RAMP,0,0x0000,20.98,39.28,76.45,1.73,1,160,0,1
600,6,PERIODIC,0x00,RAMP,0,0x0000,26.36,43.57,89.86,2.16,1,160,0,1
700,7,PERIODIC,0x00,RAMP,0,0x0000,31.71,47.90,103.27,2.59,1,160,0,1
800,8,PERIODIC,0x00,RAMP,0,0x0000,33.64,45.35,104.08,2.75,1,160,0,1
900,9,PERIODIC,0x00,RAMP,0,0x0000,35.54,43.11,104.73,2.89,1,160,0,1
1000,10,PERIODIC,0x00,RAMP,0,0x0000,37.43,40.89,105.39,3.03,1,160,0,1
1100,11,PERIODIC,0x00,RAMP,0,0x0000,39.31,38.73,106.03,3.16,1,160,0,1
1200,12,PERIODIC,0x00,RAMP,0,0x0000,41.24,36.54,106.65,3.29,1,160,0,1
1300,13,PERIODIC,0x00,RAMP,0,0x0000,43.14,34.33,107.27,3.42,1,160,0,2
1400,14,PERIODIC,0x00,RAMP,0,0x0000,43.15,34.27,107.27,3.42,1,160,0,2
1500,15,PERIODIC,0x00,RAMP,0,0x0000,43.17,34.27,107.25,3.41,1,160,0,2
1600,16,PERIODIC,0x00,RAMP,0,0x0000,43.16,34.23,107.25,3.41,1,160,0,2
1700,17,PERIODIC,0x00,RAMP,0,0x0000,43.13,34.27,107.26,3.41,1,160,0,2
1800,18,PERIODIC,0x00,RAMP,0,0x0000,43.14,34.25,107.23,3.40,1,160,0,2
1900,19,PERIODIC,0x00,RAMP,0,0x0000,43.16,34.27,107.25,3.40,1,160,0,2
